,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
86,KT2440,Bm3r1_b2,pSeva221,10,2.106448289139341,2.5762249563291197,0.4657037998968528,0.6256449331014592,0.5990681951779855,0.98001137979846,0.3728881041716184,2.1294011354646587,0.743452172492676
87,KT2440,Bm3r1_b2,pSeva221,20,2.132888270670144,2.662053572755334,0.4625475713789184,0.6372437208328966,0.6018457834918707,0.9807402865298264,0.3693961935019153,2.117879836882544,0.7334384392637395
88,KT2440,Bm3r1_b2,pSeva221,30,2.077619588297463,2.5718030821392865,0.4719272032015383,0.6440561066264988,0.5925425555289272,0.980786683998193,0.3801558374564396,2.1018880291927635,0.719728991072144
89,KT2440,Bm3r1_b2,pSeva221,40,2.0787915166045106,2.5924501592128784,0.4586145619493928,0.6374797712726619,0.5988617135010877,0.9821914927280748,0.36728259595273904,2.0939773431371944,0.7130279433675033
90,KT2440,Bm3r1_b2,pSeva221,70,2.0527542087666517,2.5680532954686828,0.4638233641908063,0.6557398012805409,0.6114904716764821,0.9790299722292891,0.3670010694666486,2.078551935768588,0.7001127471880247
91,KT2440,Bm3r1_b2,pSeva221,100,2.068145645647088,2.6485449972674457,0.4658687192565508,0.6477307784750905,0.5897513396357963,0.9734652241006344,0.37622853921481736,2.0593029444010003,0.6842731077232227
92,KT2440,Bm3r1_b2,pSeva221,200,2.018724156155844,2.607167042062261,0.4756081924738675,0.6448732435939146,0.5819724182671283,0.9792195337372254,0.3867686364584084,2.027536329679951,0.6587906150713575
93,KT2440,Bm3r1_b2,pSeva221,500,1.9795039853717649,2.647552071693821,0.4733994940064611,0.6453469021143488,0.5938715368848592,0.9801564545597612,0.3808782392580256,1.970854698109051,0.6152848412410434
94,KT2440,Bm3r1_b2,pSeva221,1000,1.9409136334396573,2.6739602996833183,0.4692285307912688,0.6467379950861143,0.5961257535537923,0.9774483765615128,0.37673940173878784,1.9209047566571849,0.578937571166514
95,KT2440,Bm3r1_b2,pSeva221,2000,1.868185941584052,2.743495449538147,0.4742165081234943,0.654524359608648,0.5827178115703133,0.9726765900865216,0.3853836954706377,1.8192972100318212,0.5103738868943559
