,strain,plasmid,backbone,iptg,rrpu
420,DH5alpha,Lmra_n1,pAN,1,1.8376157168197635
421,DH5alpha,Lmra_n1,pAN,5,1.2202430117799468
422,DH5alpha,Lmra_n1,pAN,10,0.8074867195191244
423,DH5alpha,Lmra_n1,pAN,20,0.3980582574402775
424,DH5alpha,Lmra_n1,pAN,30,0.3129537795657836
425,DH5alpha,Lmra_n1,pAN,40,0.3237690937720325
426,DH5alpha,Lmra_n1,pAN,70,0.3189694333310039
427,DH5alpha,Lmra_n1,pAN,100,0.3745922365889684
428,DH5alpha,Lmra_n1,pAN,200,0.3733637390380313
429,DH5alpha,Lmra_n1,pAN,500,0.3696589506629504
430,DH5alpha,Lmra_n1,pAN,1000,0.3336089624228856
431,DH5alpha,Lmra_n1,pAN,2000,0.3797307299564314
432,DH5alpha,Phif_p1,pAN,1,5.948768148257271
433,DH5alpha,Phif_p1,pAN,5,0.6174196722536182
434,DH5alpha,Phif_p1,pAN,10,0.312564590602666
435,DH5alpha,Phif_p1,pAN,20,0.3060422517205497
436,DH5alpha,Phif_p1,pAN,30,0.3031649730571398
437,DH5alpha,Phif_p1,pAN,40,0.27618008144761114
438,DH5alpha,Phif_p1,pAN,70,0.2880222994731264
439,DH5alpha,Phif_p1,pAN,100,0.32011963546710576
440,DH5alpha,Phif_p1,pAN,200,0.2896373934136329
441,DH5alpha,Phif_p1,pAN,500,0.2974706009158698
442,DH5alpha,Phif_p1,pAN,1000,0.2698298320887018
443,DH5alpha,Phif_p1,pAN,2000,0.3065532599386447
444,DH5alpha,Phif_p2,pAN,1,10.85184498412207
